epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,861.702,0.94912,1.88187,0.29485,0.7639,1.07831,0.68481,0.68503,0.73082,0.50105,0.60885,0.6149,0.61388,0.26624,1.20026,2.46823,0.05017,1.14217,1.31119,0.000219324,0.000219324,0.000219324
97,869.689,0.94941,1.91564,0.29635,0.78869,1.06588,0.75499,0.71044,0.79112,0.52296,0.67835,0.63992,0.69055,0.30018,1.19774,2.42976,0.053,1.01926,1.30039,0.000215443,0.000215443,0.000215443
98,878.313,0.92656,1.84245,0.29431,0.76506,1.06509,0.73648,0.73931,0.81917,0.54067,0.68065,0.71021,0.76863,0.30522,1.22068,2.34593,0.05072,0.98677,1.30755,0.000211562,0.000211562,0.000211562
99,887.749,0.90622,1.77768,0.28869,0.76293,1.06952,0.71353,0.7927,0.80772,0.54551,0.61384,0.71558,0.69099,0.30748,1.19075,2.38996,0.05344,1.06991,1.29767,0.000207682,0.000207682,0.000207682
100,895.389,0.92188,1.81636,0.29247,0.74922,1.07729,0.73518,0.70621,0.80438,0.54406,0.68168,0.65681,0.68959,0.31726,1.16268,2.44657,0.05077,1.28792,1.30674,0.000203801,0.000203801,0.000203801
101,905.089,0.92079,1.83967,0.2901,0.74442,1.06096,0.76135,0.75894,0.82066,0.54455,0.68127,0.68618,0.70337,0.32377,1.20829,2.36846,0.04997,1.06419,1.30806,0.00019992,0.00019992,0.00019992
102,914.082,0.93543,1.89164,0.2737,0.77834,1.08736,0.76465,0.76749,0.8293,0.55948,0.67892,0.69343,0.71358,0.3322,1.1809,2.33764,0.04733,0.94989,1.31587,0.000196039,0.000196039,0.000196039
103,922.665,0.92155,1.89816,0.29699,0.77829,1.07758,0.82935,0.72636,0.83272,0.56313,0.79868,0.65136,0.74228,0.33116,1.17138,2.37392,0.0489,0.96205,1.29432,0.000192158,0.000192158,0.000192158
104,932.682,0.89853,1.78615,0.28069,0.71563,1.0552,0.7942,0.78009,0.8396,0.57237,0.71252,0.71272,0.72251,0.33198,1.17011,2.40096,0.04936,0.88314,1.30052,0.000188278,0.000188278,0.000188278
105,941.069,0.91209,1.78574,0.2798,0.77332,1.0734,0.76911,0.81322,0.8511,0.57871,0.65562,0.70141,0.69965,0.32852,1.19378,2.40513,0.04809,0.99879,1.31862,0.000184397,0.000184397,0.000184397
106,950.03,0.91713,1.80931,0.29136,0.75571,1.07589,0.75867,0.79253,0.85256,0.58224,0.67264,0.71821,0.7322,0.34643,1.20453,2.39179,0.04709,1.02279,1.33422,0.000180516,0.000180516,0.000180516
107,959.627,0.90712,1.8428,0.29499,0.74704,1.07128,0.78453,0.80681,0.85432,0.5675,0.6889,0.73408,0.73293,0.33344,1.21306,2.42781,0.04661,1.05059,1.33482,0.000176635,0.000176635,0.000176635
108,967.591,0.88465,1.76469,0.27403,0.71761,1.04994,0.77247,0.78726,0.85147,0.57186,0.67366,0.71426,0.73271,0.33946,1.19018,2.35369,0.04833,0.95365,1.31332,0.000172754,0.000172754,0.000172754
109,977.441,0.90282,1.80287,0.28833,0.73094,1.06387,0.83986,0.70123,0.83399,0.56912,0.64938,0.71115,0.72448,0.32141,1.17302,2.38238,0.04655,1.0714,1.30117,0.000168874,0.000168874,0.000168874
110,986.469,0.89173,1.74529,0.28159,0.7102,1.04903,0.80827,0.69058,0.81471,0.53986,0.72169,0.62193,0.70129,0.31105,1.20122,2.38936,0.04699,1.07813,1.32262,0.000164993,0.000164993,0.000164993
111,995.417,0.89824,1.70378,0.26586,0.7118,1.05445,0.73765,0.74686,0.8091,0.54484,0.66584,0.67611,0.69302,0.30786,1.20363,2.37108,0.0456,1.02242,1.3138,0.000161112,0.000161112,0.000161112
112,1005.6,0.88502,1.74352,0.2819,0.70701,1.06217,0.7558,0.77782,0.83455,0.55575,0.67361,0.69162,0.7078,0.32314,1.19652,2.39566,0.04523,1.0046,1.3152,0.000157231,0.000157231,0.000157231
113,1015.34,0.89408,1.75388,0.27804,0.69338,1.05511,0.79532,0.74919,0.82818,0.54944,0.71859,0.6828,0.71693,0.33193,1.20833,2.35711,0.04422,1.03539,1.32469,0.00015335,0.00015335,0.00015335
114,1023.62,0.89505,1.76087,0.27602,0.72159,1.05375,0.79316,0.72872,0.8262,0.55617,0.70749,0.66231,0.72571,0.31563,1.19196,2.37031,0.04237,1.04252,1.31899,0.00014947,0.00014947,0.00014947
